Podcast Name,RSS URL,Site URL,Exclude
The Bill Simmons Podcast,https://feeds.megaphone.fm/the-bill-simmons-podcast,https://megaphone.fm,0
The Ezra Klein Show,https://feeds.simplecast.com/82FI35Px,https://nytimes.com,0
The Knowledge Project with Shane Parrish,https://feeds.megaphone.fm/FSMI7575968096,https://megaphone.fm,0
The Layover,https://podcasts.watchnebula.com/thelayover/44ede2f43c9b47718cefc92a6a1719c8,https://podcasts.watchnebula.com,0
The Prof G Pod with Scott Galloway,https://feeds.megaphone.fm/WWO6655869236,https://megaphone.fm,0
The Tony Kornheiser Show,https://feeds.megaphone.fm/the-tony-kornheiser-show,https://megaphone.fm,0
The Town with Matthew Belloni,https://feeds.megaphone.fm/the-town-with-matthew-belloni,https://megaphone.fm,0
The Watch,https://feeds.megaphone.fm/the-watch,https://megaphone.fm,0
The Zach Lowe Show,https://feeds.megaphone.fm/zach-lowe,https://megaphone.fm,0
This American Life,https://www.thisamericanlife.org/podcast/rss.xml,https://www.thisamericanlife.org,0
Waveform: The MKBHD Podcast,https://feeds.megaphone.fm/STU4418364045,https://megaphone.fm,0
safe to eat,https://almartin82.github.io/safe-to-eat/feeds/podcast.xml,https://almartin82.github.io,0
The Journal.,https://video-api.wsj.com/podcast/rss/wsj/the-journal,https://video-api.wsj.com,0
