Podcast Name,RSS URL,Site URL,Exclude
Pop Culture Happy Hour,https://feeds.npr.org/510282/podcast.xml,https://npr.org,0
The NPR Politics Podcast,https://feeds.npr.org/510310/podcast.xml,https://npr.org,0
Throughline,https://feeds.npr.org/510333/podcast.xml,https://npr.org,0
The Indicator from Planet Money,https://feeds.npr.org/510325/podcast.xml,https://npr.org,0
Wait Wait... Don't Tell Me!,https://feeds.npr.org/344098539/podcast.xml,https://npr.org,0
Time To Say Goodbye,https://api.substack.com/feed/podcast/38441.rss,https://api.substack.com,0
Please Clap,http://andrewandkerry.com/pleaseclap/feed.xml,https://andrewandkerry.com,0
Book of Basketball 2.0,https://feeds.megaphone.fm/the-book-of-basketball-podcast,https://megaphone.fm,0
The Rewatchables,https://feeds.megaphone.fm/the-rewatchables,https://megaphone.fm,0
The Big Picture,https://feeds.megaphone.fm/the-big-picture,https://megaphone.fm,0
The Bill Simmons Podcast,https://feeds.megaphone.fm/the-bill-simmons-podcast,https://megaphone.fm,0
Dwarkesh Podcast,https://api.substack.com/feed/podcast/69345.rss,https://api.substack.com,0
PTI,https://feeds.megaphone.fm/ESP7239282233,https://megaphone.fm,0
Greeking Out from National Geographic Kids,https://feeds.megaphone.fm/ESP4751925729,https://megaphone.fm,0
Lex Fridman Podcast,https://lexfridman.com/feed/podcast/,https://lexfridman.com,0
Million Bazillion,https://feeds.publicradio.org/public_feeds/million-bazillion,https://feeds.publicradio.org,0
"""Age of Miracles""",https://feeds.megaphone.fm/ageofmiracles,https://megaphone.fm,0
Raising Health,https://feeds.simplecast.com/BXDamaKF,https://simplecast.com,0
Chameleon: Dr. Miracle,https://rss.pdrl.fm/5b6e1a/feeds.megaphone.fm/chameleon,https://megaphone.fm,0
The Athletic Football Show: A show about the NFL,https://feeds.acast.com/public/shows/681cc905bdc60241406b737f,https://feeds.acast.com,0
Hoge & Jahns: a show about the Chicago Bears,https://feeds.simplecast.com/DxWJevnw,https://simplecast.com,0
Coin Bureau,https://feeds.buzzsprout.com/1442614.rss,https://feeds.buzzsprout.com,0
Recipe Club,https://feeds.megaphone.fm/dave-chang-recipe-club,https://megaphone.fm,0
The Anthropocene Reviewed,https://feeds.simplecast.com/p7S4nr_h,https://simplecast.com,0
S-Town,https://feeds.simplecast.com/CpvnpIaj,https://simplecast.com,0
Serial,https://feeds.simplecast.com/xl36XBC2,https://simplecast.com,0
EconTalk,https://feeds.simplecast.com/wgl4xEgL,https://simplecast.com,0
